$ID,$ID_NAME,Description,Icon,Link_Collections,Link_Cubes,Link_Items,Link_Maps,Link_Maps_Exploration,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,Name,Price,TimeCoolDown,TimeLifeTime,Tradability,Type,Weight
640403,Ghaca_PC_Rabdom,點擊滑鼠右鍵可以開啟，開啟時可獲得隨機道具。{nl}獎勵目錄{nl}- 經驗之書 x1{nl} - 副本倍數VIP x2{nl}- 擴音器 x1{nl}- 魔法賦予卷軸(不可交易) x1{nl}- 傳送卷軸 x8{nl}- 靈魂水晶 x4{nl}- 緊急修理工具 x3,icon_item_random_cashbox,,,,,,,,,[Popo Shop] TP道具隨機寶箱,0,0.0,0.0,FFFT,6,5.0
640404,Ghaca_PC_Misc,點擊滑鼠右鍵可以開啟，開啟時可獲得隨機道具。,icon_item_pc_miscbox,,,,,,,,,[Popo Shop] 礦物箱,0,0.0,0.0,FFFT,6,5.0
640407,Ghaca_PC_Discount_Ticket,點擊滑鼠右鍵可以開啟，開啟時可獲得隨機道具。{nl}獎勵目錄{nl}  [網咖] 染色1次50%折扣券{nl}  [網咖] 染色1次免費券{nl}  [網咖] 髮型1次50%折扣券{nl}  [網咖] 髮型1次免費券,icon_item_random_cashbox,,,,,,,,,[Popo Shop] 美容院折扣券箱,0,0.0,0.0,FFFT,6,5.0
640408,Ghaca_PC_Event_Csoume01,點擊滑鼠右鍵可以開啟，可以選擇獲得黑色女僕套裝(女)/黑色執事套裝(男)中的1種。,icon_item_box_pc_basic_pp,,,,,,,,,[網咖] 執事和女僕套裝選擇箱,0,0.0,0.0,FFFF,6,5.0
640409,Box_PC_Month,點擊滑鼠右鍵可以開啟，開啟時可獲得道具。{nl}獎勵目錄{nl} - x8 經驗之書(14天) x 1{nl} - 副本倍數VIP x 10{nl} - 女神的雕像(14天) x 10{nl} - 充滿祝福的嫩芽(14天)  x 10,icon_item_box_pc_month,,,,,,,,,[Popo Shop] 成長支援箱,0,0.0,0.0,FFFT,6,5.0
640414,Gm_Ty_Box,點擊滑鼠右鍵即可使用，使用時可以獲得道具及Buff。{nl}獎勵道具{nl} - 10TP[贈送用] x1{nl}獎勵Buff {nl} - 紅牛飲料(30分) {nl} - 移動速度增加 - 活動(30分) {nl} - 周圍HP恢復 - 活動(30分) {nl} - 周圍SP恢復 - 活動(30分),icon_item_giftbox_4,,,,,,,,,GM的感謝禮盒,0,0.0,0.0,FFFT,6,0.0
640415,Gm_Sy_Box,點擊滑鼠右鍵即可使用，使用時可以獲得道具及Buff。{nl}獎勵道具{nl} - 10TP[贈送用] x1{nl}獎勵Buff {nl} - 紅牛飲料(30分) {nl} - 移動速度增加 - 活動(30分) {nl} - 周圍HP恢復 - 活動(30分) {nl} - 周圍SP恢復 - 活動(30分),icon_item_giftbox_4,,,,,,,,,GM的道歉禮盒,0,0.0,0.0,FFFT,6,0.0
640416,Ghaca_PC_Event_Csoume02,點擊滑鼠右鍵即可開啟，開啟時可以選擇獲得血染的吸血鬼套裝(男) / 血染的吸血鬼套裝(女)中的1種。,icon_item_box_pc_basic_pp,,,,,,,,,[Popo Shop] 血染的吸血鬼套裝選擇箱,0,0.0,0.0,FFFF,6,5.0
640442,Ghaca_PC_Event_Csoume03,點擊滑鼠右鍵即可開啟，開啟時可以選擇獲得赤色冬夜套裝(男) / 赤色冬夜套裝(女)中的1種。,icon_item_box_pc_basic,,,,,,,,,[POPOshop]赤色冬夜套裝選擇箱,0,0.0,0.0,FFFF,6,5.0
640443,Attendance_Sausis_SelectBox,使用時會發送清單中想要的裝備。{nl} {nl} 飾品清單{nl} - 納帕克利斯塔斯項鍊{nl} - 納梅特瑪斯項鍊{nl} - 蘭高貝斯項鍊{nl} - 納帕克利斯塔斯手鐲 {nl} - 納梅特瑪斯手鐲 {nl} - 蘭高貝斯手鐲,icon_item_giftbox_4,,,,,,,,,幻想圖書館：沙烏席斯9館飾品選擇箱,0,0.0,0.0,FFFF,6,5.0
640444,Attendance_welcome,點擊滑鼠右鍵可以開啟，開啟時可獲得道具。{nl}獎勵目錄 {nl} - 傳送卷軸10個寶箱{nl} - 女神的雕像(14日) x 3{nl} - 充滿祝福的嫩芽(14日)  x 3,icon_item_giftbox_4,,,,,,,,,新/回歸歡迎寶箱,0,0.0,0.0,FFFT,6,5.0
640445,Attendance_welcome2,點擊滑鼠右鍵可以開啟，開啟時可獲得道具。{nl}獎勵目錄 {nl} - 遠征隊傳送石 x 5{nl} - 挑戰傳送門生成卷軸(14日) x5{nl} - 擴音器50個{nl}[活動] 摩西尼奧斯武器選擇箱,icon_item_giftbox_4,,,,,,,,,新/回歸支援寶箱,0,0.0,0.0,FFFT,6,5.0
640446,Attendance_Masinios_SelectBox,使用時可獲得11強5超越摩西尼奧斯武器清單中的1個。,icon_item_event_weaponbox1,,,,,,,,,11強5超越摩西尼奧斯武器選擇箱,0,0.0,0.0,FFFF,6,5.0
640450,Gacha_PC_Event_Costume01,點擊滑鼠右鍵可以使用。使用時可以獲得以下物品。{nl} - 人馬座太空人套裝選擇箱 1個{nl} - 人馬座太空人面罩 1個,icon_item_gacha_pc_event_costume01,,,,,,,,,[POPOshop] 人馬座太空人禮包,0,0.0,0.0,FFFF,6,5.0
640451,Select_costume_ep11,點擊滑鼠右鍵可使用。可獲得以下的職業套裝。{nl} 職業清單 {nl} - 虎獵師{nl} - 砲衛軍{nl} - 阿迪蒂{nl} - 警長{nl} {nl} - 活動結束時道具統一刪除。,icon_item_giftbox_4,,,,,,,,,[活動] 新職業優惠套裝選擇箱,0,0.0,0.0,FFFT,6,5.0
640453,Ghaca_Guild_Contribution_Shop_MISC,點擊滑鼠右鍵可以開啟，開啟時可獲得隨機道具。,icon_item_farm47_sack_01,,,,,,,,,礦物袋,0,0.0,0.0,FFFT,6,1.0
640462,box_gabia_set,點擊滑鼠右鍵即可開啟，開啟後可獲得以下內容物。{nl} - 加比婭的守護騎士選擇箱 1個{nl} - 充滿加比婭恩寵的羽毛 x3,icon_item_gabia_set,,,,,,,,,加比婭的守護騎士禮包,0,0.0,0.0,FFFF,6,5.0
640463,rubymoru_recipe_box,點擊滑鼠右鍵即可使用，使用時可獲得以下內容物。{nl} - 發光的紅寶石鐵砧製作書 x10,icon_item_ruby_recipebox,,,,,,,,,發光的紅寶石鐵砧製作書組合(10張),0,0.0,0.0,FFFF,6,5.0
640480,ViboraWeaponSelectBox,使用時贈送清單中想要的道具。,icon_item_vibora_weapon_selectbox,,,,,,,,,[奎波爾專用] 巴伊寶拉武器選擇箱,0,0.0,0.0,FFFF,6,5.0
642601,Gacha_F_001,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,鐵甲殘魔的魔方,0,0.0,0.0,FFFF,6,5.0
642602,Gacha_F_002,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,(舊) 可憎的死亡魔女的魔方,0,0.0,0.0,FFFF,6,5.0
642603,Gacha_F_003,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,(舊) 陰森的死靈查普利的魔方,0,0.0,0.0,FFFF,6,5.0
642604,Gacha_F_004,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,大地的神殿射手的魔方,0,0.0,0.0,FFFF,6,5.0
642605,Gacha_F_005,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,大地的肯瑟琳的魔方,0,0.0,0.0,FFFF,6,5.0
642606,Gacha_F_006,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,大地的亞崑的魔方,0,0.0,0.0,FFFF,6,5.0
642607,Gacha_F_007,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,(舊) 激烈的地獄三頭犬的魔方,0,0.0,0.0,FFFF,6,5.0
642608,Gacha_F_008,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,(舊) 吵雜的瑪因洛德的魔方,0,0.0,0.0,FFFF,6,5.0
642609,Gacha_F_009,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,庫巴斯的魔方,0,0.0,0.0,FFFF,6,5.0
642610,Gacha_F_010,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,地獄亡靈的魔方,0,0.0,0.0,FFFF,6,5.0
642611,Gacha_F_011,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,(舊) 燃燒的火焰權杖的魔方,0,0.0,0.0,FFFF,6,5.0
642612,Gacha_F_012,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,(舊) 充滿憤怒的夏勒琵雅的魔方,0,0.0,0.0,FFFF,6,5.0
642613,Gacha_F_013,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,喀拉庫曼的魔方,0,0.0,0.0,FFFF,6,5.0
642614,Gacha_F_014,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,提線木偶的魔方,0,0.0,0.0,FFFF,6,5.0
642615,Gacha_F_015,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,圖拉漢的魔方,0,0.0,0.0,FFFF,6,5.0
642616,Gacha_F_016,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,(舊) 挨餓的機角卡洛斯的魔方,0,0.0,0.0,FFFF,6,5.0
642617,Gacha_F_017,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,監獄管理者普利森考特的魔方,0,0.0,0.0,FFFF,6,5.0
642618,Gacha_F_018,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,挨餓的維尼亞猴子的魔方,0,0.0,0.0,FFFF,6,5.0
642619,Gacha_F_019,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,森林守護者雪貂掠奪者的魔方,0,0.0,0.0,FFFF,6,5.0
642620,Gacha_F_020,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,(舊) 米爾堤斯的魔方,0,0.0,0.0,FFFF,6,5.0
642621,Gacha_F_021,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,(舊) 赫嘉塞露的魔方,0,0.0,0.0,FFFF,6,5.0
642622,Gacha_F_022,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,(舊) 雷克西波的魔方,0,0.0,0.0,FFFF,6,5.0
642623,Gacha_F_023,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,(舊) 馬魯若斯的魔方,0,0.0,0.0,FFFF,6,5.0
642624,Gacha_F_024,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,(舊) 努亞耶雷的魔方,0,0.0,0.0,FFFF,6,5.0
642625,Gacha_F_025,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,(舊) 扎烏拉的魔方,0,0.0,0.0,FFFF,6,5.0
642626,Gacha_F_026,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,(舊) 布爾魯的魔方,0,0.0,0.0,FFFF,6,5.0
642627,Gacha_F_027,開啟時好像可以得到什麼好東西似的，點滑鼠右鍵即可使用。{nl} - 出現高級道具的機率偏高。,icon_item_cube3_first,,,,,,,,,(舊) 米爾堤斯魔方,0,0.0,0.0,FFFF,6,5.0
642628,Gacha_F_028,開啟時好像可以得到什麼好東西似的，點滑鼠右鍵即可使用。{nl} - 出現高級道具的機率偏高。,icon_item_cube3_first,,,,,,,,,(舊) 赫嘉塞露魔方,0,0.0,0.0,FFFF,6,5.0
642629,Gacha_F_029,開啟時好像可以得到什麼好東西似的，點滑鼠右鍵即可使用。{nl} - 出現高級道具的機率偏高。,icon_item_cube3_first,,,,,,,,,(舊) 雷克西波魔方,0,0.0,0.0,FFFF,6,5.0
642630,Gacha_F_030,開啟時好像可以得到什麼好東西似的，點滑鼠右鍵即可使用。{nl} - 出現高級道具的機率偏高。,icon_item_cube3_first,,,,,,,,,(舊) 馬魯若斯魔方,0,0.0,0.0,FFFF,6,5.0
642631,Gacha_F_031,開啟時好像可以得到什麼好東西似的，點滑鼠右鍵即可使用。{nl} - 出現高級道具的機率偏高。,icon_item_cube3_first,,,,,,,,,(舊) 努亞耶雷魔方,0,0.0,0.0,FFFF,6,5.0
642632,Gacha_F_032,開啟時好像可以得到什麼好東西似的，點滑鼠右鍵即可使用。{nl} - 出現高級道具的機率偏高。,icon_item_cube3_first,,,,,,,,,(舊) 扎烏拉魔方,0,0.0,0.0,FFFF,6,5.0
642633,Gacha_F_033,開啟時好像可以得到什麼好東西似的，點滑鼠右鍵即可使用。{nl} - 出現高級道具的機率偏高。,icon_item_cube3_first,,,,,,,,,(舊) 布爾魯魔方,0,0.0,0.0,FFFF,6,5.0
642634,Gacha_F_034,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,(舊) 米爾堤斯魔方,0,0.0,0.0,FFFF,6,5.0
642635,Gacha_F_035,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,(舊) 赫嘉塞露魔方,0,0.0,0.0,FFFF,6,5.0
642636,Gacha_F_036,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,(舊) 雷克西波魔方,0,0.0,0.0,FFFF,6,5.0
642637,Gacha_F_037,使用之後，好像可以獲得無法得知的東西。點擊滑鼠右鍵使用。,icon_item_cube3,,,,,,,,,(舊) 馬魯若斯魔方,0,0.0,0.0,FFFF,6,5.0
