$ID,$ID_NAME,AnvilATK,AnvilDEF,AnvilPrice,Bonus,Description,Durability,Grade,Icon,Level,Link_Collections,Link_Cubes,Link_MonsterDrops,Link_RecipeMaterial,Link_RecipeTarget,Link_Set,Material,Name,Potential,Price,RequiredClass,RequiredLevel,Sockets,SocketsLimit,Stars,Stat_ATTACK_MAGICAL,Stat_ATTACK_PHYSICAL_MAX,Stat_ATTACK_PHYSICAL_MIN,Stat_DEFENSE_MAGICAL,Stat_DEFENSE_PHYSICAL,TimeCoolDown,TimeLifeTime,Tradability,TranscendPrice,Type,TypeAttack,TypeEquipment,Unidentified,UnidentifiedRandom,Weight
4,NoOuter,,,,,,100,2,icon_item_quest_00017,1,,,,,,,4,なし_Outer,0,0,TTTTT,1,0,0,1,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,11,False,False,1.0
5,NoPants,,,,,,100,2,icon_item_quest_00017,1,,,,,,,4,なし_Pants,0,0,TTTTT,1,0,0,1,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,0,False,False,1.0
6,NoGloves,,"[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 25, 26, 28, 30, 31, 32, 33, 35, 36, 37, 38, 40, 41, 42, 43, 45, 46, 47, 48, 50, 51]","[2272, 2283, 2295, 2306, 2317, 2328, 2340, 2351, 2362, 2373, 2981, 3593, 4212, 4837, 5467, 6102, 6743, 7391, 8043, 8700, 9364, 10035, 10710, 11389, 12075, 12768, 13466, 14168, 14877, 15592, 16312, 17037, 17768, 18506, 19248, 19995, 20749, 21510, 22275, 23044]",,,100,2,icon_item_quest_00017,1,,,,,,,4,なし_Gloves,0,0,TTTTT,1,0,0,1,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,16,False,False,1.0
7,NoBoots,,"[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 25, 26, 28, 30, 31, 32, 33, 35, 36, 37, 38, 40, 41, 42, 43, 45, 46, 47, 48, 50, 51]","[2272, 2283, 2295, 2306, 2317, 2328, 2340, 2351, 2362, 2373, 2981, 3593, 4212, 4837, 5467, 6102, 6743, 7391, 8043, 8700, 9364, 10035, 10710, 11389, 12075, 12768, 13466, 14168, 14877, 15592, 16312, 17037, 17768, 18506, 19248, 19995, 20749, 21510, 22275, 23044]",,,100,2,icon_item_quest_00017,1,,,,,,,4,なし_Boots,0,0,TTTTT,1,0,0,1,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,27,False,False,1.0
8,NoShirt,,,,,,100,2,icon_item_quest_00017,1,,,,,,,4,なし_Boots,0,0,TTTTT,1,0,0,1,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,28,False,False,1.0
10000,NoHelmet,,,,"[[39, 4.0]]",,-1,2,icon_item_sword_1,0,,,,,,,4,なし_helmet,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,,12,11,,False,False,0.0
10001,murmillo_helmet,,,,,剣闘士の兜に傷がないとしたら使い始めの新品か、数多くの実験を経ても傷か付かないほどの優れものなのでしょう。,-1,2,icon_item_sword_26,0,,,,,,,4,ムルミロヘルメット,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,FFFF,,12,11,9,False,False,0.0
10002,helmet_plaguedoctor,,,,,プレイグドクターの装備の中には効果の良い薬が詰まっていると思われがちですが、本当の中身は司祭の権能そのものです。これが有能な治癒師とプレイグドクターの大きな違いです。,-1,2,icon_item_sword_26,0,,,,,,,4,プレイグドクターヘルメット,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,FFFF,,12,11,9,False,False,0.0
10003,helmet_shark,,,,,シャークヘッドを模したヘルメットです。着用すると見た目が変わります。,-1,2,icon_item_sword_26,0,,,,,,,4,シャークヘッドヘルメット,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,FFFF,,12,11,9,False,False,0.0
10004,helmet_ghostcorsair01,,,,,伝説に出てくる幽霊船の船長をイメージして作られた兜です。着用すると見た目が変わります。,-1,2,item_icon_helmet_ghostcorsair01,0,,,,,,,4,幽霊海賊ヘルメット,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,FFFF,,12,11,9,False,False,0.0
10005,helmet_weddingvail01,,,,,結婚式で新婦が着用するコスチュームです。,-1,2,helmet_weddingvail,0,,,,,,,4,どきどきウェディングベールコスチューム,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
10006,helmet_fishbowl,,,,,まるで海の中にいるように感じられる特製ヘルメットです。,-1,2,icon_item_helmet_fishbowl,0,,,,,,,4,金魚鉢ヘルメット,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
10007,helmet_diver,,,,,潜水用に作られたヘルメットです。,-1,2,icon_item_helmet_diver,0,,,,,,,4,潜水士ヘルメット,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
10008,DragoonHelmet,,,,,剣闘士の兜に傷がないとしたら使い始めの新品か、数多くの実験を経ても傷か付かないほどの優れものなのでしょう。,-1,2,icon_item_sword_26,0,,,,,,,4,ドラグーンヘルメット,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,FFFF,,12,11,9,False,False,0.0
10009,pumkin_helmet,,,,,カボチャをくり抜いて悪魔のように鋭い目、尖った鼻、ニヒルな口元を模したヘルメットです。着用すると見た目がかわります。,-1,2,icon_item_pumkin_helmet,0,,,,,,,4,ジャックオーランタンヘルメット,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
10010,helmet_Rudolf01,,,,,ルドルフ真っ赤な鼻は希望の象徴です。,-1,2,icon_item_helmet_rudolph,0,,,,,,,4,ルドルフのかぶりもの,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
10011,helmet_weddingvail02,,,,,人生で最も重要な瞬間の1つ、結婚式で花嫁が着用するベールです。着用すると見た目が変わります。{nl}リサイクルショップでメダルと交換できます。,-1,2,helmet_weddingvail02,0,,,,,,,4,どきどきウェディングベールブルー,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
11000,NoArmband,,,,,,-1,2,icon_item_sword_1,0,,,,,,,4,なし_armband,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,FFFF,,0,11,,False,False,0.0
11101,ABAND01_101,,,,,これを身に付けていると、味方を見分けやすくなります。,-1,2,icon_item_artefact_armband,40,,,,,,,4,レッドアームバンド,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11102,ABAND01_102,,,,,強く結び過ぎると、血行を妨げるかもしれません。,-1,2,icon_item_armband_cloth,40,,,,,[36002],,4,ノットアームバンド,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11103,ABAND01_103,,,,,長いので緊急事態では包帯の代わりにも使えます。,-1,2,icon_item_armband_clothlong,40,[642075],,,,,,4,ロングアームバンド,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11104,ABAND01_104,,,,,鳥の羽で飾られています。耐久性は低いので、管理に気を使う必要があります。,-1,2,icon_item_armband_feather,40,,,,,[36004],,4,フェザーアームバンド,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11105,ABAND01_105,,,,,特別な祭儀に使われますが、装飾品として使われることもあります。,-1,2,icon_item_armband_tassel,40,,,,,[36005],,4,タッセルアームバンド,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11106,ABAND01_106,,,,,1次CBTに参加したユーザーたちへの感謝を込めたアイテムです。,-1,2,icon_item_artefact_armband_cbt1,1,,,,,,,4,太初の救済者アームバンド,0,0,TTTTT,1,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",23,11,4,False,False,10.0
11107,ABAND01_107,,,,,これを身に付けていると、味方を見分けやすくなります。 一方、敵からは主要人物として認識されることもあります。,-1,2,icon_item_armband_chief,40,,,,,,,4,チーフアームバンド,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11108,ABAND01_108,,,,,これを身に付けていると、味方を見分けやすくなります。 一方、敵からは主要人物として認識され、危機を招いてしまう可能性もあります。,-1,2,icon_item_armband_silver,40,,,,,,,4,シルバーアームバンド,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11109,ABAND01_109,,,,,これを身に付けていると、味方を見分けやすくなります。たまには人前でわざと傷をつけてみてもいいでしょう。,-1,2,icon_item_armband_dia,40,,,,,,,4,ダイヤアームバンド,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11110,ABAND01_110,,,,,これを身に付けていると、味方を見分けやすくなります。アクセサリのように付けて個性を表す人もいるようです。,-1,2,icon_item_armband_singletassel,40,,,,,,,4,フリンジアームバンド,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11111,ABAND01_111,,,,,これを身に付けていると、味方を見分けやすくなります。一部の人からは誤解されがちですが、このバンドの形はサドゥーマスターとは全く関係ありません。,-1,2,icon_item_armband_shaman,40,,,,,,,4,シャーマンアームバンド,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11112,ABAND01_112,,,,,これを身に付けていると、味方を見分けやすくなります。王国の海軍力がまだ弱かった頃に活動していた海賊団の愛用物という説もあります。,-1,2,icon_item_armband_orient,40,,,,,,,4,オリエントアームバンド,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11113,ABAND01_113,,,,,シーズンサーバーに参加してくださった方々への感謝を込めたアームバンドです。,-1,2,icon_item_armband_gold,1,,,,,,,4,ゴールデンアームバンド,0,0,TTTTT,1,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",23,11,4,False,False,10.0
11114,ABAND01_114,,,,,これを身に付けていると、味方を見分けやすくなります。 神樹の日以降、植物系に拒否反応を起こすようになった人々にも愛用されているようです。,-1,2,icon_item_armband_leaf,40,,,,,,,4,リーフアームバンド,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11115,ABAND01_115,,,,,これを身に付けていると、味方を見分けやすくなります。本物の剥製などではありません。,-1,2,icon_item_armband_dragonfly1,40,,,,,,,4,トンボアームバンド,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11116,ABAND01_116,,,,,これを身に付けていると、味方を見分けやすくなります。見方は大切ですからね。,-1,2,icon_item_armband_exclamationmark_icon,40,,,,,,,4,フィーリングアームバンド,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11117,ABAND01_117,,,,,これを身に付けていると、味方を見分けやすくなります。これを付けているからといって自分自身がプレゼントになることはありません。,-1,2,icon_item_armband_ribbon,40,,,,,,,4,リボンアームバンド,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11118,ABAND01_118,,,,,これを身に付けていると、味方を見分けやすくなります。たくさんの人から支持されているような気分になります。,-1,2,icon_item_armband_facebook,40,,,,,,,4,いいね！アームバンド,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11119,ABAND01_119,,,,,ギルドバトルで1位を達成したギルドメンバーに与えられるアームバンドです。,-1,2,icon_item_armband_01,40,,,,,,41,4,ギルドバトル1位アームバンド,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,FFFT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11120,ABAND01_120,,,,,ギルドバトルで2位を達成したギルドメンバーに与えられるアームバンドです。,-1,2,icon_item_armband_02,40,,,,,,42,4,ギルドバトル2位アームバンド,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,FFFT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11121,ABAND01_121,,,,,ギルドバトルで3位を達成したギルドメンバーに与えられるアームバンドです。,-1,2,icon_item_armband_03,40,,,,,,43,4,ギルドバトル3位アームバンド,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,FFFT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11122,ABAND01_122,,,,,風紀委員が身に付けるアームバンドです。,-1,2,icon_item_armband_freshness,1,,,,,,,4,風紀委員アームバンド,0,0,TTTTT,1,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",23,11,4,False,False,10.0
11123,ABAND01_123,,,,,死を象徴したアームバンドです。,-1,2,icon_item_armband_skull,1,,,,,,,4,髑髏アームバンド,0,0,TTTTT,1,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",23,11,4,False,False,10.0
11124,ABAND01_124,,,,,かわいいウサギが印象的なアームバンド。,-1,2,icon_item_armband_bunny,1,,,,,,,4,バニーズアームバンド,0,0,TTTTT,1,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",23,11,4,False,False,10.0
11125,ABAND01_125,,,,,白いハートが印象的なアームバンド。,-1,2,icon_item_armband_nurse,1,,,,,,,4,純白のアームバンド,0,0,TTTTT,1,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",23,11,4,False,False,10.0
11126,ABAND01_126,,,,,地球の幸せを望む救済者が着用するアームバンドです。,-1,2,icon_item_armband_g9,1,,,,,,,4,地球の幸せアームバンド,0,0,TTTTT,1,0,0,0,0,0,0,0,0,0.0,0.0,FFFT,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",23,11,4,False,False,10.0
